Date, Open, High, Low, Close
12/24/08, 863.87, 869.79, 861.44, 868.15
12/23/08, 874.31, 880.44, 860.10, 863.16
12/22/08, 887.20, 887.37, 857.09, 871.63
12/19/08, 886.96, 905.47, 883.02, 887.88
12/18/08, 905.98, 911.02, 877.44, 885.28
12/17/08, 908.16, 918.85, 895.94, 904.42
12/16/08, 871.53, 914.66, 871.53, 913.18
12/15/08, 881.07, 884.63, 857.72, 868.57
12/12/08, 871.79, 883.24, 851.35, 879.73
12/11/08, 898.35, 904.63, 868.73, 873.59
12/10/08, 892.17, 908.27, 885.45, 899.24
12/09/08, 906.48, 916.26, 885.38, 888.67
12/08/08, 882.71, 918.57, 882.71, 909.70
12/05/08, 844.43, 879.42, 818.41, 876.07
12/04/08, 869.75, 875.60, 833.60, 845.22
12/03/08, 843.60, 873.12, 827.60, 870.74
12/02/08, 817.94, 850.54, 817.94, 848.81
12/01/08, 888.61, 888.61, 815.69, 816.21
11/28/08, 886.89, 896.25, 881.21, 896.24
11/26/08, 852.90, 887.68, 841.37, 887.68
11/25/08, 853.40, 868.94, 834.99, 857.39
11/24/08, 801.20, 865.60, 801.20, 851.81
11/21/08, 755.84, 801.20, 741.02, 800.03
11/20/08, 805.87, 820.52, 747.78, 752.44
11/19/08, 859.03, 864.57, 806.18, 806.58
11/18/08, 852.34, 865.90, 826.84, 859.12
11/17/08, 873.23, 882.29, 848.98, 850.75
11/14/08, 904.36, 916.88, 869.88, 873.29
11/13/08, 853.13, 913.01, 818.69, 911.29
11/12/08, 893.39, 893.39, 850.48, 852.30
11/11/08, 917.15, 917.15, 884.90, 898.95
11/10/08, 936.75, 951.95, 907.47, 919.21
11/07/08, 907.44, 931.46, 906.90, 930.99
11/06/08, 952.40, 952.40, 899.73, 904.88
11/05/08, 1001.84, 1001.84, 949.86, 952.77
11/04/08, 971.31, 1007.51, 971.31, 1005.75
11/03/08, 968.67, 975.57, 958.82, 966.30
10/31/08, 953.11, 984.38, 944.59, 968.75
10/30/08, 939.38, 963.23, 928.50, 954.09
10/29/08, 939.51, 969.97, 922.26, 930.09
10/28/08, 848.92, 940.51, 845.27, 940.51
10/27/08, 874.28, 893.78, 846.75, 848.92
10/24/08, 895.22, 896.30, 852.85, 876.77
10/23/08, 899.08, 922.83, 858.44, 908.11
10/22/08, 951.67, 951.67, 875.81, 896.78
10/21/08, 980.40, 985.44, 952.47, 955.05
10/20/08, 943.51, 985.40, 943.51, 985.40
10/17/08, 942.29, 984.64, 918.74, 940.55
10/16/08, 909.53, 947.71, 865.83, 946.43
10/15/08, 994.60, 994.60, 903.99, 907.84
10/14/08, 1009.97, 1044.31, 972.07, 998.01
10/13/08, 912.75, 1006.93, 912.75, 1003.35
10/10/08, 902.31, 936.36, 839.80, 899.22
10/09/08, 988.42, 1005.25, 909.19, 909.92
10/08/08, 988.91, 1021.06, 970.97, 984.94
10/07/08, 1057.60, 1072.91, 996.23, 996.23
10/06/08, 1097.56, 1097.56, 1007.97, 1056.89
10/03/08, 1115.16, 1153.82, 1098.14, 1099.23
10/02/08, 1160.64, 1160.64, 1111.43, 1114.28
10/01/08, 1164.17, 1167.03, 1140.77, 1161.06
09/30/08, 1113.78, 1168.03, 1113.78, 1166.36
09/29/08, 1209.07, 1209.07, 1106.42, 1106.42
09/26/08, 1204.47, 1215.77, 1187.54, 1213.01
09/25/08, 1187.87, 1220.03, 1187.87, 1209.18
09/24/08, 1188.79, 1197.41, 1179.79, 1185.87
09/23/08, 1207.61, 1221.15, 1187.06, 1188.22
09/22/08, 1255.37, 1255.37, 1205.61, 1207.09
09/19/08, 1213.11, 1265.12, 1213.11, 1255.08
09/18/08, 1157.08, 1211.14, 1133.50, 1206.51
09/17/08, 1210.34, 1210.34, 1155.88, 1156.39
09/16/08, 1188.31, 1214.84, 1169.28, 1213.60
09/15/08, 1250.92, 1250.92, 1192.70, 1192.70
09/12/08, 1245.88, 1255.09, 1233.81, 1251.70
09/11/08, 1229.04, 1249.98, 1211.54, 1249.05
09/10/08, 1227.50, 1243.90, 1221.60, 1232.04
09/09/08, 1267.98, 1268.66, 1224.51, 1224.51
09/08/08, 1249.50, 1274.42, 1247.12, 1267.79
09/05/08, 1233.21, 1244.94, 1217.23, 1242.31
09/04/08, 1271.80, 1271.80, 1232.83, 1236.83
09/03/08, 1276.61, 1280.60, 1265.59, 1274.98
09/02/08, 1287.83, 1303.04, 1272.20, 1277.58
08/29/08, 1296.49, 1297.59, 1282.74, 1282.83
08/28/08, 1283.79, 1300.68, 1283.79, 1300.68
08/27/08, 1271.29, 1285.05, 1270.03, 1281.66
08/26/08, 1267.03, 1275.65, 1263.21, 1271.51
08/25/08, 1290.47, 1290.47, 1264.87, 1266.84
08/22/08, 1277.59, 1293.09, 1277.59, 1292.20
08/21/08, 1271.07, 1281.40, 1265.22, 1277.72
08/20/08, 1267.34, 1276.01, 1261.16, 1274.54
08/19/08, 1276.65, 1276.65, 1263.11, 1266.69
08/18/08, 1298.14, 1300.22, 1274.51, 1278.60
08/15/08, 1293.85, 1302.05, 1290.74, 1298.20
08/14/08, 1282.11, 1300.11, 1276.84, 1292.93
08/13/08, 1288.64, 1294.03, 1274.86, 1285.83
08/12/08, 1304.79, 1304.79, 1285.64, 1289.59
08/11/08, 1294.42, 1313.15, 1291.41, 1305.32
08/08/08, 1266.29, 1297.85, 1262.11, 1296.32
08/07/08, 1286.51, 1286.51, 1264.29, 1266.07
08/06/08, 1283.99, 1291.67, 1276.00, 1289.19
08/05/08, 1254.87, 1284.88, 1254.67, 1284.88
08/04/08, 1260.16, 1260.49, 1247.45, 1249.01
08/01/08, 1269.42, 1270.52, 1254.54, 1260.31
07/31/08, 1281.37, 1284.93, 1265.97, 1267.38
07/30/08, 1264.52, 1284.33, 1264.52, 1284.26
07/29/08, 1236.38, 1263.20, 1236.38, 1263.20
07/28/08, 1257.76, 1260.09, 1234.37, 1234.37
07/25/08, 1253.51, 1263.23, 1251.75, 1257.76
07/24/08, 1283.22, 1283.22, 1251.48, 1252.54
07/23/08, 1278.87, 1291.17, 1276.06, 1282.19
07/22/08, 1257.08, 1277.42, 1248.83, 1277.00
07/21/08, 1261.82, 1267.74, 1255.70, 1260.00
07/18/08, 1258.22, 1262.23, 1251.81, 1260.68
07/17/08, 1246.31, 1262.31, 1241.49, 1260.32
07/16/08, 1214.65, 1245.52, 1211.39, 1245.36
07/15/08, 1226.83, 1234.35, 1200.44, 1214.91
